"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"Sharda Cropchem Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_538666_14072026115136.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_538666_1472026115135_BRSR_WebXMLFile_20260714_115151230.xml","14-Jul-2026","-"
"RATNAMANI METALS & TUBES LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/RATNAMANI_14072026110759_RMTLBRSRFY20252614072026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/520111_BRSR_WebXMLFile_20260714_111247993.xml","14-Jul-2026","-"
"Ipca Laboratories Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_524494_14072026104811.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_524494_1472026104811_BRSR_WebXMLFile_20260714_104954359.xml","14-Jul-2026","-"
"Kirloskar Oil Engines Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_533293_13072026234309.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_533293_137202623438_BRSR_WebXMLFile_20260713_235105480.xml","13-Jul-2026","-"
"Blue Star Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_500067_13072026232656.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500067_1372026232656_BRSR_WebXMLFile_20260713_232710648.xml","13-Jul-2026","-"
"KARUR VYSYA BANK LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/KARURVYSYA_13072026223125_AGM_BRSR_DSC.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_BRSR_WebXMLFile_20260713_223137111.xml","13-Jul-2026","-"
"Dollar Industries Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_541403_13072026220215.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_541403_137202622215_BRSR_WebXMLFile_20260713_220341727.xml","13-Jul-2026","-"
"Lupin Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_500257_13072026211217.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500257_1372026211217_BRSR_WebXMLFile_20260713_211241171.xml","13-Jul-2026","-"
"Aptus Value Housing Finance India Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_543335_13072026202221.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_543335_1372026202221_BRSR_WebXMLFile_20260713_202234654.xml","13-Jul-2026","-"
"IGARASHI MOTORS INDIA LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/IGARASHI_13072026194756_IMIL-BRSR-13072026-SD.pdf","https://nsearchives.nseindia.com/corporate/xbrl/Business_Responsibility_Sustainability_Reporting-f.xlsm_BRSR_WebXMLFile_20260713_194814941.xml","13-Jul-2026","-"
